fips,state,county,seat,lat,lon,int_lat,int_lon,point_source
54067,WV,Nicholas County,Summersville,38.2843332,-80.8415469,38.291432,-80.797515,seat
54069,WV,Ohio County,Wheeling,40.070277777778,-80.698611111111,40.100323,-80.6199,seat
54071,WV,Pendleton County,Franklin,38.6475,-79.331666666667,38.67445,-79.340617,seat
54073,WV,Pleasants County,St. Marys,39.396388888889,-81.199722222222,39.368133,-81.161172,seat
54075,WV,Pocahontas County,Marlinton,38.2247,-80.0947,38.332606,-80.010121,seat
54077,WV,Preston County,Kingwood,39.471666666667,-79.685,39.46903,-79.668865,seat
54079,WV,Putnam County,Winfield,38.534444444444,-81.892222222222,38.510518,-81.906109,seat
54081,WV,Raleigh County,Beckley,37.779722222222,-81.183055555556,37.762469,-81.264672,seat
54083,WV,Randolph County,Elkins,38.9214,-79.8508,38.781095,-79.867788,seat
54085,WV,Ritchie County,Harrisville,39.21,-81.0508,39.177112,-81.066317,seat
54087,WV,Roane County,Spencer,38.801666666667,-81.351666666667,38.74295,-81.354494,seat
54089,WV,Summers County,Hinton,37.666944444444,-80.886666666667,37.655999,-80.856325,seat
54091,WV,Taylor County,Grafton,39.341666666667,-80.019722222222,39.332478,-80.046554,seat
54093,WV,Tucker County,Parsons,39.095833333333,-79.679444444444,39.111175,-79.559968,seat
54095,WV,Tyler County,Middlebourne,39.493888888889,-80.905833333333,39.465634,-80.877219,seat
54097,WV,Upshur County,Buckhannon,38.9892,-80.2242,38.90253,-80.231606,seat
54099,WV,Wayne County,Wayne,38.228333333333,-82.440555555556,38.143642,-82.422666,seat
54101,WV,Webster County,Webster Springs,38.476111111111,-80.41,38.483459,-80.449052,seat
54103,WV,Wetzel County,New Martinsville,39.6575,-80.859444444444,39.59818,-80.635399,seat
54105,WV,Wirt County,Elizabeth,39.062777777778,-81.395555555556,39.020034,-81.382975,seat
54107,WV,Wood County,Parkersburg,39.266111111111,-81.542222222222,39.211602,-81.516234,seat
54109,WV,Wyoming County,Pineville,37.583055555556,-81.535277777778,37.60366,-81.549032,seat
55001,WI,Adams County,Friendship,43.9717,-89.8186,43.973757,-89.767228,seat
55003,WI,Ashland County,Ashland,46.59,-90.88,46.544424,-90.679691,seat
55005,WI,Barron County,Barron,45.400555555556,-91.848055555556,45.437192,-91.852892,seat
55007,WI,Bayfield County,Washburn,46.673888888889,-90.897777777778,46.634199,-91.177282,seat
55009,WI,Brown County,Green Bay,44.513333333333,-88.013333333333,44.474024,-87.99613,seat
55011,WI,Buffalo County,Alma,44.34,-91.924444444444,44.385633,-91.761294,seat
55013,WI,Burnett County,Siren,45.7722,-92.3575,45.866897,-92.37573,seat
55015,WI,Calumet County,Chilton,44.030833333333,-88.158611111111,44.07841,-88.212132,seat
55017,WI,Chippewa County,Chippewa Falls,44.933333333333,-91.4,45.069092,-91.283505,seat
55019,WI,Clark County,Neillsville,44.561111111111,-90.595833333333,44.739346,-90.609953,seat
55021,WI,Columbia County,Portage,43.55,-89.466666666667,43.471882,-89.330472,seat
55023,WI,Crawford County,Prairie du Chien,43.05165,-91.141241666667,43.242768,-90.935185,seat
55025,WI,Dane County,Madison,43.074722222222,-89.384166666667,43.067468,-89.417852,seat
