fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
29189,MO,St. Louis County,Clayton,38.645277777778,-90.331944444444,38.640688,-90.446073,seat,57355.3,1355664.5,23.2273628,34644.1,811585.8,23.2273628
29195,MO,Saline County,Marshall,39.116111111111,-93.197777777778,39.13584,-93.204164,seat,68872.6,1623059.8,31.47665054,24181.1,560267.4,31.47665054
29197,MO,Schuyler County,Lancaster,40.5242,-92.5292,40.469361,-92.519016,seat,69295.3,1635882.5,55.32130983,27600.6,588548.6,55.32130983
29199,MO,Scotland County,Memphis,40.46083,-92.16972,40.447686,-92.142824,seat,67789.1,1569304.5,19.7585309,29556.8,623604.6,19.7585309
29201,MO,Scott County,Benton,37.0969,-89.5622,37.047793,-89.568098,seat,57223.6,1356363.8,6.977135166,42608.0,1007840.9,6.977135166
29203,MO,Shannon County,Eminence,37.148333333333,-91.358888888889,37.152498,-91.391328,seat,65007.5,1528998.8,39.36768392,39185.9,886817.4,39.36768392
29205,MO,Shelby County,Shelbyville,39.8072,-92.0411,39.797531,-92.088719,seat,64217.0,1517524.6,32.31565717,26240.0,589992.3,32.31565717
29207,MO,Stoddard County,Bloomfield,36.8878,-89.93,36.851557,-89.947481,seat,58158.0,1370532.0,28.6588225,45014.0,1047216.6,28.6588225
29209,MO,Stone County,Galena,36.8056,-93.4672,36.745822,-93.457842,seat,73988.8,1745326.0,21.64073686,32038.3,731271.9,21.64073686
29211,MO,Sullivan County,Milan,40.20139,-93.125,40.209587,-93.109783,seat,70583.2,1649156.4,18.21217941,23408.9,505994.5,18.21217941
29213,MO,Taney County,Forsyth,36.6867,-93.1128,36.649827,-93.042819,seat,73991.7,1751919.3,66.40071334,32975.6,755047.1,66.40071334
29215,MO,Texas County,Houston,37.3233,-91.9597,37.314257,-91.964478,seat,67428.4,1589040.5,33.29807208,36273.9,831350.5,33.29807208
29217,MO,Vernon County,Nevada,37.838111111111,-94.359611111111,37.850196,-94.341597,seat,76470.3,1783417.5,15.55125975,24189.8,564479.6,15.55125975
29219,MO,Warren County,Warrenton,38.8158,-91.1403,38.761902,-91.159306,seat,60510.0,1420937.0,42.03554044,30805.2,731627.8,42.03554044
29221,MO,Washington County,Potosi,37.9378,-90.7819,37.942611,-90.897018,seat,62410.2,1454225.8,35.97791828,37871.4,853937.0,35.97791828
29223,MO,Wayne County,Greenville,37.1272,-90.4483,37.111074,-90.453931,seat,61647.0,1457688.4,1.734505146,42474.4,993997.6,1.734505146
29225,MO,Webster County,Marshfield,37.33944,-92.90722,37.280804,-92.87608,seat,69422.6,1647245.5,20.13034343,30721.4,699306.4,20.13034343
